"","sample","mean_OE","sd_OE","var_OE"
"131","32149-ORDEQ:20050803:R:SR",1.07149873789637,0.0687939638993189,0.00473260946898079
"132","32481-ORDEQ:20050713:R:SR",0.956633644891552,0.0694832712741159,0.00482792498695238
"133","32485-ORDEQ:20050713:R:SR",0.766207669406709,0.049432752864949,0.00244359705580712
"134","32486-ORDEQ:20050713:R:SR",0.871901946930716,0.063771369310448,0.00406678754372955
"135","32487-ORDEQ:20050713:R:SR",0.935562566562919,0.0824175697028117,0.00679265579571783
"136","32488-ORDEQ:20050728:R:SR",0.810469178421948,0.0429015882375784,0.00184054627330672
"137","32489-ORDEQ:20050728:R:SR",0.855753282721676,0.0383273798050572,0.00146898804272111
"138","32490-ORDEQ:20050729:R:SR",0.850127822758787,0.0419916282157679,0.00176329684021128
"139","32556-ORDEQ:20050803:R:SR",1.0547279052513,0.0703946581491664,0.004955407895938
"140","32576-ORDEQ:20050907:R:SR",0.851323103380688,0.0616355252768138,0.00379893797614876
"141","32577-ORDEQ:20050907:R:SR",0.787160777158829,0.0777372028416473,0.00604307270564342
"142","32585-ORDEQ:20050915:R:SR",0.895990625115674,0.0627489011006834,0.00393742458934334
"143","33336-ORDEQ:20060818:R:SR",1.11824613239692,0.0783519797208254,0.00613903272617264
"144","33342-ORDEQ:20060906:R:SR",0.940120936062587,0.0635976830880837,0.00404466529417233
"145","33419-ORDEQ:20060919:R:SR",0.926871330532827,0.0773930936219686,0.0059896909403788
"146","34468-ORDEQ:20070924:R:SR",0.836203823909034,0.0803200558273969,0.00645131136811616
"147","34470-ORDEQ:20070731:R:SR",0.908523934563622,0.0829298640773527,0.00687736235588819
"148","34471-ORDEQ:20070905:R:SR",NA,NA,NA
"149","34477-ORDEQ:20070821:R:SR",0.895131698732691,0.0739083025037071,0.00546243717897948
"150","34614-ORDEQ:20070827:R:SR",1.00418658146861,0.0668164067754913,0.00446443221438792
"151","34636-ORDEQ:20070816:R:SR",0.814350017322514,0.0476314341099584,0.00226875351537131
"152","34643-ORDEQ:20070918:R:SR",0.834571406884904,0.0592590300716347,0.0035116326450309
"153","34661-ORDEQ:20070912:R:SR",0.965507310435731,0.0771521983164791,0.00595246170506532
"154","35619-ORDEQ:20000703:R:SR",0.912327605397307,0.0431525076685999,0.00186213891808857
"155","35622-ORDEQ:20000706:R:SR",1.00938527513374,0.117943890872871,0.0139107613942317
"156","35624-ORDEQ:20000723:R:SR",1.03465708829234,0.0491251113912451,0.00241327656920224
"157","35626-ORDEQ:20000728:R:SR",1.22539383647324,0.0459074592336196,0.00210749481328645
"158","35627-ORDEQ:20000729:R:SR",0.92830455019764,0.081099234411669,0.00657708582215884
"159","35629-ORDEQ:20000802:R:SR",1.06758178922282,0.118652047426765,0.0140783083585632
"160","35634-ORDEQ:20000813:R:SR",0.892650192045733,0.0535984945830668,0.00287279862157104
"161","35694-ORDEQ:20150818:R:SR",0.994111830462241,0.0805416442980521,0.00648695646623395
"162","35696-ORDEQ:19980727:R:SR-1",0.876203268292738,0.0611257225536009,0.00373635395769979
"163","35702-ORDEQ:19980729:R:SR-3",0.907170061815343,0.0891093144367342,0.00794046991938476
"164","35704-ORDEQ:19980728:R:SR-1",0.930752429751508,0.0736546657479368,0.00542500978644029
"165","35708-ORDEQ:19980807:R:SR-2",0.913096914043137,0.0704649227622633,0.00496530533989174
"166","35709-ORDEQ:19980807:R:SR-3",1.00297264983075,0.0724619851610232,0.00525073929347635
"167","35711-ORDEQ:19980808:R:SR-2",0.882493464937941,0.0796113818549985,0.00633797212086238
"168","35713-ORDEQ:19980809:R:SR",0.775091546365376,0.104777884964121,0.0109784051775546
"169","35714-ORDEQ:19980811:R:SR-1",0.948287304644852,0.103002069669381,0.0106094263561761
"170","35715-ORDEQ:19980728:R:SR-1",0.911640723283061,0.0801153653746717,0.00641847176911714
"171","35716-ORDEQ:19980811:R:SR-1",0.993715808108504,0.0617392414368284,0.00381173393319499
"172","35717-ORDEQ:19980811:R:SR-1",0.69487847397188,0.0897919827594938,0.00806260016788122
"173","35721-ORDEQ:19980729:R:SR-3",0.877450663136427,0.072448433157914,0.00524877546703673
"174","35722-ORDEQ:19980729:R:SR-3",0.881008641706801,0.0647519484268668,0.00419281482507562
"175","35733-ORDEQ:19980809:R:SR-1",0.701102664201821,0.0780207915252579,0.00608724391022775
"176","35734-ORDEQ:19980808:R:SR-2",0.731167501979293,0.0564597559000732,0.00318770403629585
"177","35748-ORDEQ:19990704:R:SR",0.733668601123072,0.0879040648587818,0.00772712461869691
"178","35749-ORDEQ:19990703:R:SR",0.884320004444033,0.0699941079147106,0.00489917514277616
"179","35758-ORDEQ:19990808:R:SR",0.794237888167681,0.0556499133483915,0.00309691285568348
"180","35763-ORDEQ:19990805:R:SR",0.903039589121095,0.079393440517239,0.00630331839716437
"181","35767-ORDEQ:19990817:R:SR",0.833153088352067,0.0580403470205639,0.00336868188226748
"182","35769-ORDEQ:19990816:R:SR",0.999565672849025,0.0953249095224019,0.0090868383754541
"183","35770-ORDEQ:19990819:R:SR",0.998288662124624,0.0835304401484782,0.00697733443139849
"184","35772-ORDEQ:19990817:R:SR",0.926976978944605,0.0739831417517602,0.00547350526346104
"185","35773-ORDEQ:19990818:R:SR",0.95177488824295,0.0363898250241137,0.00132421936528561
"186","35791-ORDEQ:19990809:R:SR",1.03879246347911,0.0725170472053639,0.00525872213538497
"187","35792-ORDEQ:19990811:R:SR",0.856471948184985,0.0479869620389781,0.00230274852573032
"188","35794-ORDEQ:20150819:R:SR",1.05214621373209,0.0524851185247,0.00275468766655181
"189","35830-ORDEQ:20000720:R:SR",0.949459356823528,0.117698607600457,0.0138529622310863
"190","35847-ORDEQ:20020613:R:SR",1.03838404561211,0.0769173367120081,0.00591627668686844
"191","35853-ORDEQ:20010613:R:SR",1.01031084323111,0.0506965014451556,0.00257013525877866
"192","35883-ORDEQ:20020816:R:SR",0.774746153602968,0.07019105442854,0.00492678412179026
"193","35939-ORDEQ:20090812:T:SR",0.987580947087986,0.0739591719078014,0.00546995910928772
"194","35940-ORDEQ:20090813:T:SR",0.902654439172648,0.0683552831922705,0.00467244474029549
