,sample,mean_MMI,sd_MMI,var_MMI,mean_MMI_rescale,sd_MMI_rescale,,,Subsample Count,OE_X,OE_sd,MMI_X,MMI_sd,MMI.rescale_sd,MMI.rescale_X
103,26958-ORDEQ:20020910:R:SR,0.667566631,0.028176029,0.000793889,0.914474837,0.0385973,,,,,,,,,
104,26966-ORDEQ:20020913:R:SR,NA,NA,NA,,,,,,,,,,,
105,29027-ORDEQ:20020808:R:SR,0.762962149,0.029192589,0.000852207,1.045153629,0.039989848,,,,,,,,,
106,29879-ORDEQ:20030826:R:SR,0.777013148,0.025749219,0.000663022,1.064401573,0.035272903,,,,,,,,,
107,29900-ORDEQ:20030806:R:SR,0.645844726,0.035687531,0.0012736,0.884718802,0.048887029,,,,,,,,,
108,30339-ORDEQ:20030924:R:SR,0.776561996,0.024338993,0.000592387,1.063783557,0.033341086,,,,,,,,,
109,30354-ORDEQ:20030827:R:SR,0.752629128,0.025362776,0.00064327,1.030998805,0.034743529,,,,,,,,,
110,30379-ORDEQ:20030723:R:SR,0.84074514,0.028642128,0.000820371,1.151705671,0.039235792,,,,,,,,,
111,30383-ORDEQ:20030724:R:SR,0.672868742,0.024570088,0.000603689,0.921738002,0.033657655,,,,,,,,,
112,30387-ORDEQ:20030722:R:SR,0.780249891,0.02878977,0.000828851,1.068835467,0.039438041,,,,,,,,,
113,30389-ORDEQ:20030728:R:SR,0.678278525,0.02080972,0.000433044,0.929148665,0.028506466,,,,,,,,,
114,30392-ORDEQ:20030730:R:SR,0.831792613,0.024446906,0.000597651,1.139441936,0.033488912,,,,,,,,,
115,30396-ORDEQ:20030827:R:SR,0.766873156,0.022059355,0.000486615,1.050511172,0.030218295,,,,,,,,,
116,30421-ORDEQ:20030730:R:SR,0.738406702,0.033586461,0.00112805,1.011516031,0.046008851,,,,,,,,,
117,30621-ORDEQ:20030924:R:SR,0.769076702,0.032028467,0.001025823,1.053529728,0.043874612,,,,,,,,,
118,30623-ORDEQ:20030819:R:SR,0.746686896,0.023781299,0.00056555,1.022858762,0.032577122,,,,,,,,,
119,30625-ORDEQ:20030818:R:SR,0.682549644,0.02452555,0.000601503,0.934999513,0.033596644,,,,,,,,,
120,30628-ORDEQ:20030902:R:SR,0.725151225,0.02701506,0.000729813,0.993357842,0.037006932,,,,,,,,,
121,30629-ORDEQ:20030918:R:SR,0.758591099,0.031354281,0.000983091,1.039165888,0.04295107,,,,,,,,,
122,30727-ORDEQ:20030820:R:SR,0.769538104,0.021339889,0.000455391,1.054161786,0.029232725,,,,,,,,,
123,31354-ORDEQ:20040707:R:SR,0.768108372,0.013116703,0.000172048,1.05220325,0.017968086,,,,,,,,,
124,31387-ORDEQ:20040708:R:SR,0.69478143,0.038437468,0.001477439,0.951755384,0.052654066,,,,,,,,,
125,31467-ORDEQ:20070918:R:SR,0.633268088,0.033684305,0.001134632,0.867490531,0.046142884,,,,,,,,,
126,31477-ORDEQ:20040715:R:SR,0.787925378,0.028843026,0.00083192,1.079349833,0.039510995,,,,,,,,,
127,31480-ORDEQ:20040804:R:SR,0.763007795,0.035897247,0.001288612,1.045216158,0.049174311,,,,,,,,,
128,31485-ORDEQ:20040802:R:SR,0.773410244,0.025294696,0.000639822,1.059466088,0.034650268,,,,,,,,,
129,31730-ORDEQ:20040901:R:SR,0.722742623,0.020088482,0.000403547,0.990058388,0.027518468,,,,,,,,,
130,31803-ORDEQ:20040929:R:SR,0.634400442,0.018183425,0.000330637,0.869041701,0.024908801,,,,,,,,,
131,32149-ORDEQ:20050803:R:SR,0.736192171,0.026936348,0.000725567,1.008482426,0.036899107,,,,,,,,,
132,32481-ORDEQ:20050713:R:SR,0.773624138,0.026998535,0.000728921,1.059759094,0.036984295,,,,,,,,,
133,32485-ORDEQ:20050713:R:SR,0.706607524,0.03288489,0.001081416,0.967955512,0.045047795,,,,,,,,,
134,32486-ORDEQ:20050713:R:SR,0.733022418,0.023646411,0.000559153,1.004140298,0.032392344,,,,,,,,,
135,32487-ORDEQ:20050713:R:SR,0.74987152,0.031626654,0.001000245,1.02722126,0.043324184,,,,,,,,,
136,32488-ORDEQ:20050728:R:SR,0.669726415,0.00691307,4.78E-05,0.917433445,0.009469959,,,,,,,,,
137,32489-ORDEQ:20050728:R:SR,0.703026866,0.022729705,0.000516639,0.963050501,0.031136582,,,,,,,,,
138,32490-ORDEQ:20050729:R:SR,0.63213657,0.025515727,0.000651052,0.865940507,0.034953051,,,,,,,,,
139,32556-ORDEQ:20050803:R:SR,0.695394529,0.035154049,0.001235807,0.952595245,0.048156232,,,,,,,,,
140,32576-ORDEQ:20050907:R:SR,0.6980253,0.03342912,0.001117506,0.956199041,0.045793315,,,,,,,,,
141,32577-ORDEQ:20050907:R:SR,0.672134165,0.035310694,0.001246845,0.920731733,0.048370814,,,,,,,,,
142,32585-ORDEQ:20050915:R:SR,0.707914376,0.021292182,0.000453357,0.96974572,0.029167373,,,,,,,,,
143,33336-ORDEQ:20060818:R:SR,0.756650009,0.027372997,0.000749281,1.036506862,0.037497256,,,,,,,,,
144,33342-ORDEQ:20060906:R:SR,0.732951952,0.024029048,0.000577395,1.00404377,0.032916504,,,,,,,,,
145,33419-ORDEQ:20060919:R:SR,0.753446936,0.031048326,0.000963999,1.032119091,0.042531953,,,,,,,,,
146,34468-ORDEQ:20070924:R:SR,0.766519643,0.02592711,0.000672215,1.050026908,0.035516589,,,,,,,,,
147,34470-ORDEQ:20070731:R:SR,0.799610278,0.030332482,0.000920059,1.095356545,0.041551345,,,,,,,,,
148,34471-ORDEQ:20070905:R:SR,NA,NA,NA,,,,,,,,,,,
149,34477-ORDEQ:20070821:R:SR,0.81317917,0.01847987,0.000341506,1.113944069,0.02531489,,,,,,,,,
150,34614-ORDEQ:20070827:R:SR,0.716554439,0.035885462,0.001287766,0.981581423,0.049158167,,,,,,,,,
151,34636-ORDEQ:20070816:R:SR,0.661595576,0.028095216,0.000789341,0.90629531,0.038486597,,,,,,,,,
152,34643-ORDEQ:20070918:R:SR,0.709885839,0.020368424,0.000414873,0.972446354,0.027901951,,,,,,,,,
153,34661-ORDEQ:20070912:R:SR,0.741429806,0.018135694,0.000328903,1.015657268,0.024843416,,,,,,,,,
154,35619-ORDEQ:20000703:R:SR,0.701601459,0.026107608,0.000681607,0.961097888,0.035763847,,,,,,,,,
155,35622-ORDEQ:20000706:R:SR,0.681741668,0.033350561,0.00111226,0.933892696,0.0456857,,,,,,,,,
156,35624-ORDEQ:20000723:R:SR,0.718987147,0.02133603,0.000455226,0.984913899,0.029227438,,,,,,,,,
157,35626-ORDEQ:20000728:R:SR,0.754776611,0.029750343,0.000885083,1.033940563,0.040753895,,,,,,,,,
