"","sample","mean_MMI","sd_MMI","var_MMI"
"92","25425-ORDEQ:20010730:R:SR",0.708112534519222,0.0296379438518044,0.000878407715762709
"93","26806-ORDEQ:20020904:R:SR",0.699987300427975,0.0487614267429986,0.00237767673801282
"94","26854-ORDEQ:20020813:R:SR",0.669523580849635,0.0517768906579142,0.0026808464062016
"95","26886-ORDEQ:20020716:R:SR",0.685515304251349,0.0488860457461595,0.0023898454686956
"96","26895-ORDEQ:20020724:R:SR",0.670680509911395,0.0355660742019047,0.00126494563413539
"97","26902-ORDEQ:20020716:R:SR",NA,NA,NA
"98","26906-ORDEQ:20020723:R:SR",0.669576071091776,0.0484683519254351,0.00234918113836782
"99","26929-ORDEQ:20020711:R:SR",0.679318052209906,0.0316969989654021,0.0010046997434127
"100","26936-ORDEQ:20030730:R:SR",0.673383081549573,0.0503810412190589,0.00253824931431651
"101","26950-ORDEQ:20020731:R:SR",0.697640894581584,0.0428465485961616,0.00183582672660324
"102","26952-ORDEQ:20020905:R:SR",0.677745022334043,0.0356042308264428,0.00126766125274262
"103","26958-ORDEQ:20020910:R:SR",0.627584810767229,0.0422322434655392,0.00178356238813258
"104","26966-ORDEQ:20020913:R:SR",NA,NA,NA
"105","29027-ORDEQ:20020808:R:SR",0.736532303276714,0.0429153593941802,0.00184172807193165
"106","29879-ORDEQ:20030826:R:SR",0.710577830716754,0.0339826296110043,0.0011548191152787
"107","29900-ORDEQ:20030806:R:SR",0.522058549614332,0.0600921129480477,0.00361106203856092
"108","30339-ORDEQ:20030924:R:SR",0.745020780315738,0.0440572276067243,0.00194103930439071
"109","30354-ORDEQ:20030827:R:SR",0.688773919686619,0.0341765363859022,0.00116803563933689
"110","30379-ORDEQ:20030723:R:SR",0.814655073933679,0.0382690759607457,0.00146452217488933
"111","30383-ORDEQ:20030724:R:SR",0.604804271458499,0.0448907132124266,0.00201517613272033
"112","30387-ORDEQ:20030722:R:SR",0.75693494667329,0.0317851031464425,0.00101029278202999
"113","30389-ORDEQ:20030728:R:SR",0.614262602339232,0.0385292102484582,0.0014845000423699
"114","30392-ORDEQ:20030730:R:SR",0.789565514942802,0.0382082252300991,0.00145986847523398
"115","30396-ORDEQ:20030827:R:SR",0.702360596459367,0.0459870271124806,0.00211480666264403
"116","30421-ORDEQ:20030730:R:SR",0.693593626613408,0.0422893012227901,0.00178838499791188
"117","30621-ORDEQ:20030924:R:SR",0.712689124100349,0.0434738653733318,0.00188997697049858
"118","30623-ORDEQ:20030819:R:SR",0.699095757193912,0.0317023544711003,0.00100503927901129
"119","30625-ORDEQ:20030818:R:SR",0.654802741633111,0.0281522099772926,0.000792546926605576
"120","30628-ORDEQ:20030902:R:SR",0.680677692225443,0.0435514367421721,0.00189672764230742
"121","30629-ORDEQ:20030918:R:SR",0.713441742355308,0.0373454565568084,0.00139468312543646
"122","30727-ORDEQ:20030820:R:SR",0.731525452049725,0.0357721960661349,0.001279650011394
"123","31354-ORDEQ:20040707:R:SR",0.756415079947932,0.0243164549662616,0.000591289982126229
"124","31387-ORDEQ:20040708:R:SR",0.596787437977193,0.0331479379929805,0.00109878579318648
"125","31467-ORDEQ:20070918:R:SR",0.56763302103099,0.047454224381334,0.002251903411634
"126","31477-ORDEQ:20040715:R:SR",0.724447500822831,0.0305828072380861,0.000935308098561934
"127","31480-ORDEQ:20040804:R:SR",0.756871541957126,0.0401865868009575,0.0016149617587109
"128","31485-ORDEQ:20040802:R:SR",0.676240788102595,0.0383277581258885,0.00146901704295661
"129","31730-ORDEQ:20040901:R:SR",0.67533751349019,0.0254559450939814,0.000648005140627797
"130","31803-ORDEQ:20040929:R:SR",0.588635941386397,0.0325091207105124,0.00105684292937066
"131","32149-ORDEQ:20050803:R:SR",0.692283785026337,0.0364884884493561,0.00133140978931879
"132","32481-ORDEQ:20050713:R:SR",0.727523486369066,0.0451441919372266,0.00203799806566515
"133","32485-ORDEQ:20050713:R:SR",0.670322562785471,0.0366610891500749,0.00134403545766974
"134","32486-ORDEQ:20050713:R:SR",0.668000811551153,0.053479258674998,0.00286003110842735
"135","32487-ORDEQ:20050713:R:SR",0.713751673670671,0.0391528713410494,0.00153294733424877
"136","32488-ORDEQ:20050728:R:SR",0.611408759584197,0.0310956015479955,0.000966936435631702
